,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,token_type
0,1,['org:group'],sepsis,0.544,0.4998875453193804,0.48393073710645934,0.544,167.95932850837707,dense-multiple,Without History
1,1,['workgroup'],helpdesk,0.7927352976261481,0.7160160347103008,0.7316748760738486,0.7927352976261481,197.85156030654906,transformer-single,Without History
2,1,['org:group'],sepsis,0.5643185840707965,0.5260842249545461,0.5080746613581656,0.5643185840707965,158.2151427268982,transformer-single,Max Case Length
3,1,['customer'],helpdesk,0.7914827627341048,0.7178556136886082,0.7320436532218721,0.7914827627341048,209.83682141304016,dense-multiple,Max Case Length
4,1,['customer'],helpdesk,0.7951210783728976,0.7169032043018371,0.7382054731646062,0.7951210783728976,198.56136741638184,transformer-single,Without History
5,1,['Resource'],helpdesk,0.7985208159370154,0.7382367192526383,0.7382418189555134,0.7985208159370154,199.01487312316894,transformer-single,Without History
6,1,['customer'],helpdesk,0.7960157461529286,0.7621452061698502,0.7496081721483663,0.7960157461529286,295.23786945343016,transformer-multiple,Without History
7,1,['org:resource'],bpi_challenge_2012,0.8587049897635582,0.8290403621345646,0.8280046239415149,0.8587049897635582,3829.8628290176393,transformer-multiple,Max Case Length
8,1,['org:resource'],bpi_challenge_2012,0.8533418971538678,0.8125763529301862,0.8203126672792824,0.8533418971538678,2623.192953014374,transformer-single,Max Case Length
9,1,['seriousness'],helpdesk,0.7947035667422164,0.7169609495941873,0.7300393073218368,0.7947035667422164,211.25138940811158,dense-multiple,Max Case Length
10,1,['workgroup'],helpdesk,0.7954789454849099,0.7181015147488042,0.7325444465539118,0.7954789454849099,198.50995950698854,transformer-single,Max Case Length
11,1,['Resource'],helpdesk,0.8016223309077896,0.7313612021426397,0.7476907335095363,0.8016223309077896,211.45867004394532,dense-multiple,Max Case Length
12,1,['org:group'],sepsis,0.5376991150442478,0.47803743774382196,0.4674420928712055,0.5376991150442478,233.34221529960632,transformer-multiple,Max Case Length
13,1,['seriousness'],helpdesk,0.7941071215555291,0.7141302622154966,0.7288404542048933,0.7941071215555291,295.7574087619781,transformer-multiple,Max Case Length
14,1,['org:resource'],bpi_challenge_2012,0.8454819156196058,0.7908462574022431,0.805205816029549,0.8454819156196058,2797.945066165924,dense-multiple,Max Case Length
15,1,['customer'],helpdesk,0.7963736132649409,0.7291396345905213,0.7409198959841291,0.7963736132649409,199.2277461528778,transformer-single,Max Case Length
