,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,token_type
0,1,['org:group'],1,sepsis,0.8970448045757865,0.8315600619120002,0.8593749144935261,0.8970448045757865,dense-multiple,Without History
1,1,['org:group'],10,sepsis,0.4700854700854701,0.446972833037002,0.412794006513997,0.4700854700854701,dense-multiple,Without History
2,1,['org:group'],100,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
3,1,['org:group'],101,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
4,1,['org:group'],102,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
5,1,['org:group'],103,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
6,1,['org:group'],104,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
7,1,['org:group'],105,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
8,1,['org:group'],106,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
9,1,['org:group'],107,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
10,1,['org:group'],108,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
11,1,['org:group'],109,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
12,1,['org:group'],11,sepsis,0.3619631901840491,0.32050021756065283,0.2854493545680166,0.3619631901840491,dense-multiple,Without History
13,1,['org:group'],110,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
14,1,['org:group'],111,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
15,1,['org:group'],112,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
16,1,['org:group'],113,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
17,1,['org:group'],114,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
18,1,['org:group'],115,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
19,1,['org:group'],116,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
20,1,['org:group'],117,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
21,1,['org:group'],118,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
22,1,['org:group'],119,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
23,1,['org:group'],12,sepsis,0.4070175438596491,0.3124498178851927,0.3238439391743114,0.4070175438596491,dense-multiple,Without History
24,1,['org:group'],120,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
25,1,['org:group'],121,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
26,1,['org:group'],122,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
27,1,['org:group'],123,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
28,1,['org:group'],124,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
29,1,['org:group'],125,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
30,1,['org:group'],126,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
31,1,['org:group'],127,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
32,1,['org:group'],128,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
33,1,['org:group'],129,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
34,1,['org:group'],13,sepsis,0.4264705882352941,0.3460187612819584,0.33713980091993645,0.4264705882352941,dense-multiple,Without History
35,1,['org:group'],130,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
36,1,['org:group'],131,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
37,1,['org:group'],132,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
38,1,['org:group'],133,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
39,1,['org:group'],134,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
40,1,['org:group'],135,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
41,1,['org:group'],136,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
42,1,['org:group'],137,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
43,1,['org:group'],138,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
44,1,['org:group'],139,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
45,1,['org:group'],14,sepsis,0.3979848866498741,0.36291046829080387,0.3083246079339275,0.3979848866498741,dense-multiple,Without History
46,1,['org:group'],140,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
47,1,['org:group'],141,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
48,1,['org:group'],142,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
49,1,['org:group'],143,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
50,1,['org:group'],144,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
51,1,['org:group'],145,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
52,1,['org:group'],146,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
53,1,['org:group'],147,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
54,1,['org:group'],148,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
55,1,['org:group'],149,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
56,1,['org:group'],15,sepsis,0.3993808049535604,0.29591977532542957,0.3079228240667547,0.3993808049535604,dense-multiple,Without History
57,1,['org:group'],150,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
58,1,['org:group'],151,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
59,1,['org:group'],152,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
60,1,['org:group'],153,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
61,1,['org:group'],154,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
62,1,['org:group'],155,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
63,1,['org:group'],156,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
64,1,['org:group'],157,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
65,1,['org:group'],158,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
66,1,['org:group'],159,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
67,1,['org:group'],16,sepsis,0.452755905511811,0.31400021547080376,0.3537136341782204,0.452755905511811,dense-multiple,Without History
68,1,['org:group'],160,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
69,1,['org:group'],161,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
70,1,['org:group'],162,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
71,1,['org:group'],163,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
72,1,['org:group'],164,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
73,1,['org:group'],165,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
74,1,['org:group'],166,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
75,1,['org:group'],167,sepsis,0.5,0.5,0.5,0.5,dense-multiple,Without History
76,1,['org:group'],168,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
77,1,['org:group'],169,sepsis,1.0,1.0,1.0,1.0,dense-multiple,Without History
78,1,['org:group'],17,sepsis,0.4716981132075472,0.40528956274138844,0.3982802462351157,0.4716981132075472,dense-multiple,Without History
79,1,['org:group'],170,sepsis,0.544,0.4998875453193804,0.48393073710645934,0.544,dense-multiple,Without History
80,1,['org:group'],18,sepsis,0.3756906077348066,0.32891208820473383,0.31570808816218227,0.3756906077348066,dense-multiple,Without History
81,1,['org:group'],19,sepsis,0.38125,0.31428454511175097,0.3153410160444496,0.38125,dense-multiple,Without History
82,1,['org:group'],2,sepsis,0.8388941849380362,0.7673068573591011,0.7957109403972716,0.8388941849380362,dense-multiple,Without History
83,1,['org:group'],20,sepsis,0.40425531914893614,0.32414266190861935,0.34379699639064587,0.40425531914893614,dense-multiple,Without History
84,1,['org:group'],21,sepsis,0.43333333333333335,0.3019255050505051,0.3447425291565409,0.43333333333333335,dense-multiple,Without History
85,1,['org:group'],22,sepsis,0.4095238095238095,0.3638961567532996,0.35276907219764364,0.4095238095238095,dense-multiple,Without History
86,1,['org:group'],23,sepsis,0.4222222222222222,0.43507703081232496,0.3690966896763998,0.4222222222222222,dense-multiple,Without History
87,1,['org:group'],24,sepsis,0.42168674698795183,0.4060456110154906,0.3827759197324414,0.42168674698795183,dense-multiple,Without History
88,1,['org:group'],25,sepsis,0.4025974025974026,0.3865551115551115,0.36964697263963214,0.4025974025974026,dense-multiple,Without History
89,1,['org:group'],26,sepsis,0.4864864864864865,0.43982031482031486,0.4278733278733279,0.4864864864864865,dense-multiple,Without History
90,1,['org:group'],27,sepsis,0.47058823529411764,0.38930995475113117,0.41086364615776383,0.47058823529411764,dense-multiple,Without History
91,1,['org:group'],28,sepsis,0.390625,0.35461309523809526,0.35656791125541126,0.390625,dense-multiple,Without History
92,1,['org:group'],29,sepsis,0.34545454545454546,0.35545454545454547,0.29221788312697405,0.34545454545454546,dense-multiple,Without History
93,1,['org:group'],3,sepsis,0.3708086785009862,0.3053512193779745,0.2720150958459431,0.3708086785009862,dense-multiple,Without History
94,1,['org:group'],30,sepsis,0.425531914893617,0.3416413373860182,0.3672901566518588,0.425531914893617,dense-multiple,Without History
95,1,['org:group'],31,sepsis,0.5238095238095238,0.5375661375661376,0.47045613117041685,0.5238095238095238,dense-multiple,Without History
96,1,['org:group'],32,sepsis,0.5789473684210527,0.4821428571428571,0.5080375764586291,0.5789473684210527,dense-multiple,Without History
97,1,['org:group'],33,sepsis,0.2727272727272727,0.18787878787878787,0.2152433425160698,0.2727272727272727,dense-multiple,Without History
