,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,token_type,input_dimension
0,1,['org:group'],sepsis,0.544,0.4998875453193804,0.48393073710645934,0.544,167.95932850837707,dense-multiple,Without History,MAX
1,1,['org:group'],sepsis,0.6523582864560796,0.6415733200969715,0.6103618954335722,0.6523582864560796,84.92927312850952,transformer-single,Max Case Length,15
2,1,['workgroup'],helpdesk,0.7927352976261481,0.7160160347103008,0.7316748760738486,0.7927352976261481,197.85156030654906,transformer-single,Without History,MAX
3,1,['org:group'],sepsis,0.5643185840707965,0.5260842249545461,0.5080746613581656,0.5643185840707965,158.2151427268982,transformer-single,Max Case Length,MAX
4,1,['Resource'],helpdesk,0.8099257662835249,0.7339026237059867,0.7549031685350569,0.8099257662835249,122.03557934761048,transformer-single,Max Case Length,8
5,1,['customer'],helpdesk,0.7914827627341048,0.7178556136886082,0.7320436532218721,0.7914827627341048,209.83682141304016,dense-multiple,Max Case Length,MAX
6,1,['customer'],helpdesk,0.7951210783728976,0.7169032043018371,0.7382054731646062,0.7951210783728976,198.56136741638184,transformer-single,Without History,MAX
7,1,['Resource'],helpdesk,0.7985208159370154,0.7382367192526383,0.7382418189555134,0.7985208159370154,199.01487312316894,transformer-single,Without History,MAX
8,1,['customer'],helpdesk,0.7960157461529286,0.7621452061698502,0.7496081721483663,0.7960157461529286,295.23786945343016,transformer-multiple,Without History,MAX
9,1,['seriousness'],helpdesk,0.7947035667422164,0.7169609495941873,0.7300393073218368,0.7947035667422164,211.25138940811158,dense-multiple,Max Case Length,MAX
10,0,[],sepsis,0.6586758978797057,0.6364341363422359,0.6123065883289914,0.6586758978797057,85.17707977294921,transformer-single,Without History,15
11,1,['org:group'],sepsis,0.652444829078321,0.633243742751758,0.6109692667388128,0.652444829078321,90.16655535697937,dense-multiple,Max Case Length,15
12,1,['org:group'],sepsis,0.6609260060579836,0.6478710901938869,0.6173293096242862,0.6609260060579836,127.59776945114136,transformer-multiple,Max Case Length,15
13,1,['workgroup'],helpdesk,0.7954789454849099,0.7181015147488042,0.7325444465539118,0.7954789454849099,198.50995950698854,transformer-single,Max Case Length,MAX
14,1,['Resource'],helpdesk,0.7950790229885057,0.7176065375200407,0.7306570837102588,0.7950790229885057,126.73080067634582,dense-multiple,Without History,8
15,1,['Resource'],helpdesk,0.8016223309077896,0.7313612021426397,0.7476907335095363,0.8016223309077896,211.45867004394532,dense-multiple,Max Case Length,MAX
16,1,['org:group'],sepsis,0.5376991150442478,0.47803743774382196,0.4674420928712055,0.5376991150442478,233.34221529960632,transformer-multiple,Max Case Length,MAX
17,1,['seriousness'],helpdesk,0.7941071215555291,0.7141302622154966,0.7288404542048933,0.7941071215555291,295.7574087619781,transformer-multiple,Max Case Length,MAX
18,1,['customer'],helpdesk,0.7963736132649409,0.7291396345905213,0.7409198959841291,0.7963736132649409,199.2277461528778,transformer-single,Max Case Length,MAX
19,1,['Resource'],helpdesk,0.811661877394636,0.7596411152438055,0.7615844580053638,0.811661877394636,179.48260097503663,transformer-multiple,Max Case Length,8
20,1,['Resource'],helpdesk,0.7923774305141358,0.7177367027293067,0.7299775687593051,0.7923774305141358,210.75874428749086,dense-multiple,Without History,MAX
21,1,['org:group'],sepsis,0.6613587191691909,0.6322827879847182,0.6152188604009611,0.6613587191691909,128.89311838150024,transformer-multiple,Without History,15
22,1,['org:group'],sepsis,0.6157876106194691,0.5854805712301915,0.566053928768255,0.6157876106194691,154.5951051235199,transformer-single,Without History,MAX
23,1,['Resource'],helpdesk,0.8122390552308243,0.7699660668517928,0.7612128250653787,0.8122390552308243,298.78676867485046,transformer-multiple,Max Case Length,MAX
24,1,['org:group'],sepsis,0.6541756815231502,0.6403368280726893,0.6129601059421182,0.6541756815231502,85.02015423774719,transformer-single,Without History,15
25,1,['workgroup'],helpdesk,0.7960157461529286,0.7189903800728298,0.735127561746613,0.7960157461529286,298.19610996246337,transformer-multiple,Without History,MAX
26,1,['workgroup'],helpdesk,0.796135035190266,0.7164601796911205,0.7356056523462425,0.796135035190266,209.11353607177733,dense-multiple,Without History,MAX
27,1,['workgroup'],helpdesk,0.795240367410235,0.7179158806577656,0.7331761485423287,0.795240367410235,186.89776501655578,transformer-single,Max Case Length,MAX
28,0,[],sepsis,0.6072920353982301,0.5759280559674894,0.5584623350820035,0.6072920353982301,155.72321739196778,transformer-single,Without History,MAX
29,1,['seriousness'],helpdesk,0.79076702851008,0.7184635064025562,0.7320727377535752,0.79076702851008,207.91153593063353,dense-multiple,Without History,MAX
30,1,['customer'],helpdesk,0.7970893474889658,0.7179982574617471,0.7405388732105683,0.7970893474889658,187.974605178833,transformer-single,Max Case Length,MAX
