prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,0.7259770609759848,,0.7259770609759848,0.7259770609759848,0.7259770609759848,0.7259770609759848,0.7259770609759848
0,Hierarchical TE,1.0,0.7271156415171052,,0.7271156415171052,0.7271156415171052,0.7271156415171052,0.7271156415171052,0.7271156415171052
0,Single ReLU,1.0,0.7275316120523833,,0.7275316120523833,0.7275316120523833,0.7275316120523833,0.7275316120523833,0.7275316120523833
0,Single TE,1.0,0.7278570427996952,,0.7278570427996952,0.7278570427996952,0.7278570427996952,0.7278570427996952,0.7278570427996952
Lmax,Hierarchical ReLU,1.0,0.9043199436945016,,0.9043199436945016,0.9043199436945016,0.9043199436945016,0.9043199436945016,0.9043199436945016
Lmax,Hierarchical TE,1.0,0.8999193683397736,,0.8999193683397736,0.8999193683397736,0.8999193683397736,0.8999193683397736,0.8999193683397736
Lmax,Single ReLU,1.0,0.9051834882759516,,0.9051834882759516,0.9051834882759516,0.9051834882759516,0.9051834882759516,0.9051834882759516
Lmax,Single TE,1.0,0.9017540802695012,,0.9017540802695012,0.9017540802695012,0.9017540802695012,0.9017540802695012,0.9017540802695012
L̅,Hierarchical ReLU,1.0,0.9043515472053956,,0.9043515472053956,0.9043515472053956,0.9043515472053956,0.9043515472053956,0.9043515472053956
L̅,Hierarchical TE,1.0,0.900776933878622,,0.900776933878622,0.900776933878622,0.900776933878622,0.900776933878622,0.900776933878622
L̅,Single ReLU,1.0,0.9037322892216652,,0.9037322892216652,0.9037322892216652,0.9037322892216652,0.9037322892216652,0.9037322892216652
L̅,Single TE,1.0,0.9013116311169876,,0.9013116311169876,0.9013116311169876,0.9013116311169876,0.9013116311169876,0.9013116311169876
L̅/ 2,Hierarchical ReLU,1.0,0.9041465514590572,,0.9041465514590572,0.9041465514590572,0.9041465514590572,0.9041465514590572,0.9041465514590572
L̅/ 2,Hierarchical TE,1.0,0.9006940814311436,,0.9006940814311436,0.9006940814311436,0.9006940814311436,0.9006940814311436,0.9006940814311436
L̅/ 2,Single ReLU,1.0,0.9034965441133764,,0.9034965441133764,0.9034965441133764,0.9034965441133764,0.9034965441133764,0.9034965441133764
L̅/ 2,Single TE,1.0,0.9024066500620112,,0.9024066500620112,0.9024066500620112,0.9024066500620112,0.9024066500620112,0.9024066500620112
