prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,0.8007276631277586,,0.8007276631277586,0.8007276631277586,0.8007276631277586,0.8007276631277586,0.8007276631277586
0,Hierarchical TE,1.0,0.7972682810449719,,0.7972682810449719,0.7972682810449719,0.7972682810449719,0.7972682810449719,0.7972682810449719
0,Hierarchical biLSTM,1.0,0.8003697960157462,,0.8003697960157462,0.8003697960157462,0.8003697960157462,0.8003697960157462,0.8003697960157462
0,Single ReLU,1.0,0.7997137063103901,,0.7997137063103901,0.7997137063103901,0.7997137063103901,0.7997137063103901,0.7997137063103901
0,Single TE,1.0,0.8004890850530836,,0.8004890850530836,0.8004890850530836,0.8004890850530836,0.8004890850530836,0.8004890850530836
0,Single biLSTM,1.0,0.8007276631277586,,0.8007276631277586,0.8007276631277586,0.8007276631277586,0.8007276631277586,0.8007276631277586
Lmax,Hierarchical ReLU,1.0,0.8136108791602051,,0.8136108791602051,0.8136108791602051,0.8136108791602051,0.8136108791602051,0.8136108791602051
Lmax,Hierarchical TE,1.0,0.8115233210067995,,0.8115233210067995,0.8115233210067995,0.8115233210067995,0.8115233210067995,0.8115233210067995
Lmax,Hierarchical biLSTM,1.0,0.8136108791602051,,0.8136108791602051,0.8136108791602051,0.8136108791602051,0.8136108791602051,0.8136108791602051
Lmax,Single ReLU,1.0,0.8136705236788739,,0.8136705236788739,0.8136705236788739,0.8136705236788739,0.8136705236788739,0.8136705236788739
Lmax,Single TE,1.0,0.8112847429321245,,0.8112847429321245,0.8112847429321245,0.8112847429321245,0.8112847429321245,0.8112847429321245
Lmax,Single biLSTM,1.0,0.8137898127162114,,0.8137898127162114,0.8137898127162114,0.8137898127162114,0.8137898127162114,0.8137898127162114
L̅,Hierarchical ReLU,1.0,0.81432661338423,,0.81432661338423,0.81432661338423,0.81432661338423,0.81432661338423,0.81432661338423
L̅,Hierarchical TE,1.0,0.8117618990814744,,0.8117618990814744,0.8117618990814744,0.8117618990814744,0.8117618990814744,0.8117618990814744
L̅,Hierarchical biLSTM,1.0,0.8136108791602051,,0.8136108791602051,0.8136108791602051,0.8136108791602051,0.8136108791602051,0.8136108791602051
L̅,Single ReLU,1.0,0.8110461648574496,,0.8110461648574496,0.8110461648574496,0.8110461648574496,0.8110461648574496,0.8110461648574496
L̅,Single TE,1.0,0.8096146964094,,0.8096146964094,0.8096146964094,0.8096146964094,0.8096146964094,0.8096146964094
L̅,Single biLSTM,1.0,0.8103900751520935,,0.8103900751520935,0.8103900751520935,0.8103900751520935,0.8103900751520935,0.8103900751520935
L̅/ 2,Hierarchical ReLU,1.0,0.8077060718120005,,0.8077060718120005,0.8077060718120005,0.8077060718120005,0.8077060718120005,0.8077060718120005
L̅/ 2,Hierarchical TE,1.0,0.8019205535011332,,0.8019205535011332,0.8019205535011332,0.8019205535011332,0.8019205535011332,0.8019205535011332
L̅/ 2,Hierarchical biLSTM,1.0,0.805797447214601,,0.805797447214601,0.805797447214601,0.805797447214601,0.805797447214601,0.805797447214601
L̅/ 2,Single ReLU,1.0,0.8063938924012883,,0.8063938924012883,0.8063938924012883,0.8063938924012883,0.8063938924012883,0.8063938924012883
L̅/ 2,Single TE,1.0,0.8049624239532387,,0.8049624239532387,0.8049624239532387,0.8049624239532387,0.8049624239532387,0.8049624239532387
L̅/ 2,Single biLSTM,1.0,0.8047238458785637,,0.8047238458785637,0.8047238458785637,0.8047238458785637,0.8047238458785637,0.8047238458785637
