prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,0.7811967891024082,,0.7811967891024082,0.7811967891024082,0.7811967891024082,0.7811967891024082,0.7811967891024082
0,Hierarchical TE,1.0,0.778469958647531,,0.778469958647531,0.778469958647531,0.778469958647531,0.778469958647531,0.778469958647531
0,Single ReLU,1.0,0.7831744101191924,,0.7831744101191924,0.7831744101191924,0.7831744101191924,0.7831744101191924,0.7831744101191924
0,Single TE,1.0,0.7795451228411578,,0.7795451228411578,0.7795451228411578,0.7795451228411578,0.7795451228411578,0.7795451228411578
Lmax,Hierarchical ReLU,1.0,0.8116200437849672,,0.8116200437849672,0.8116200437849672,0.8116200437849672,0.8116200437849672,0.8116200437849672
Lmax,Hierarchical TE,1.0,0.8115178788615909,,0.8115178788615909,0.8115178788615909,0.8115178788615909,0.8115178788615909,0.8115178788615909
Lmax,Single ReLU,1.0,0.8103235222573583,,0.8103235222573583,0.8103235222573583,0.8103235222573583,0.8103235222573583,0.8103235222573583
Lmax,Single TE,1.0,0.8107711019216736,,0.8107711019216736,0.8107711019216736,0.8107711019216736,0.8107711019216736,0.8107711019216736
L̅,Hierarchical ReLU,1.0,0.8113962539528096,,0.8113962539528096,0.8113962539528096,0.8113962539528096,0.8113962539528096,0.8113962539528096
L̅,Hierarchical TE,1.0,0.8116565312576015,,0.8116565312576015,0.8116565312576015,0.8116565312576015,0.8116565312576015,0.8116565312576015
L̅,Single ReLU,1.0,0.811405983945512,,0.811405983945512,0.811405983945512,0.811405983945512,0.811405983945512,0.811405983945512
L̅,Single TE,1.0,0.8112551690586232,,0.8112551690586232,0.8112551690586232,0.8112551690586232,0.8112551690586232,0.8112551690586232
L̅/ 2,Hierarchical ReLU,1.0,0.8097567501824373,,0.8097567501824373,0.8097567501824373,0.8097567501824373,0.8097567501824373,0.8097567501824373
L̅/ 2,Hierarchical TE,1.0,0.8110970566772074,,0.8110970566772074,0.8110970566772074,0.8110970566772074,0.8110970566772074,0.8110970566772074
L̅/ 2,Single ReLU,1.0,0.8107078569691073,,0.8107078569691073,0.8107078569691073,0.8107078569691073,0.8107078569691073,0.8107078569691073
L̅/ 2,Single TE,1.0,0.8105497445876916,,0.8105497445876916,0.8105497445876916,0.8105497445876916,0.8105497445876916,0.8105497445876916
