Embedding,Event Log,count,mean,std,min,25%,50%,75%,max
With Embedding,BPIC12,5.0,0.8610348841877082,0.0017532219508602932,0.8581991891132431,0.8608245353458311,0.8612460358877604,0.8621813656617558,0.8627232949299506
With Embedding,BPIC17,4.0,0.9025431003556676,0.0017626221638757575,0.900776933878622,0.9011779568073962,0.9025219601693264,0.9038871037175977,0.9043515472053956
With Embedding,BPIC20p,6.0,0.8269222827882392,0.005204412617238596,0.8186942517343905,0.8243619920713579,0.8284192269573836,0.8293173934588701,0.833374628344896
With Embedding,Helpdesk,6.0,0.8117917213408088,0.001843681440543195,0.8096146964094,0.8105540975784326,0.811404031969462,0.8131486341405225,0.81432661338423
With Embedding,Sepsis,6.0,0.6473982300884956,0.003578619256138544,0.6433982300884956,0.6442477876106195,0.647504424778761,0.6499646017699116,0.6520353982300885
With Embedding,TrafficFines,4.0,0.8114284845536366,0.00016692178707073318,0.8112551690586232,0.8113609827292629,0.8114011189491608,0.8114686207735344,0.8116565312576015
Without Embedding,BPIC12,2.0,0.8172514150375336,0.01941272239787558,0.8035245473887038,0.8103879812131187,0.8172514150375336,0.8241148488619485,0.8309782826863634
Without Embedding,BPIC17,2.0,0.866777535199478,0.014444654376195788,0.8565636221381739,0.8616705786688259,0.866777535199478,0.8718844917301299,0.8769914482607819
Without Embedding,BPIC20p,2.0,0.7369301288404361,0.014891991179597735,0.7263999008919723,0.7316650148662042,0.7369301288404361,0.742195242814668,0.7474603567888999
Without Embedding,Helpdesk,2.0,0.7680126446379578,0.035047461240965104,0.7432303471310987,0.7556214958845282,0.7680126446379578,0.7804037933913874,0.7927949421448169
Without Embedding,Sepsis,2.0,0.5549380530973451,0.03799603872004176,0.528070796460177,0.541504424778761,0.5549380530973451,0.5683716814159292,0.5818053097345133
Without Embedding,TrafficFines,2.0,0.8095743128192654,0.0005985725124128475,0.8091510581367064,0.8093626854779858,0.8095743128192654,0.809785940160545,0.8099975675018244
