prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,33.48797192573547,,33.48797192573547,33.48797192573547,33.48797192573547,33.48797192573547,33.48797192573547
0,Hierarchical TE,1.0,114.11392216682434,,114.11392216682434,114.11392216682434,114.11392216682434,114.11392216682434,114.11392216682434
0,Hierarchical biLSTM,1.0,116.09290409088136,,116.09290409088136,116.09290409088136,116.09290409088136,116.09290409088136,116.09290409088136
0,Single ReLU,1.0,28.735358572006227,,28.735358572006227,28.735358572006227,28.735358572006227,28.735358572006227,28.735358572006227
0,Single TE,1.0,86.80319948196411,,86.80319948196411,86.80319948196411,86.80319948196411,86.80319948196411,86.80319948196411
0,Single biLSTM,1.0,58.610978031158446,,58.610978031158446,58.610978031158446,58.610978031158446,58.610978031158446,58.610978031158446
Lmax,Hierarchical ReLU,1.0,46.94273624420166,,46.94273624420166,46.94273624420166,46.94273624420166,46.94273624420166,46.94273624420166
Lmax,Hierarchical TE,1.0,529.55349984169,,529.55349984169,529.55349984169,529.55349984169,529.55349984169,529.55349984169
Lmax,Hierarchical biLSTM,1.0,653.2676812648773,,653.2676812648773,653.2676812648773,653.2676812648773,653.2676812648773,653.2676812648773
Lmax,Single ReLU,1.0,38.19000358581543,,38.19000358581543,38.19000358581543,38.19000358581543,38.19000358581543,38.19000358581543
Lmax,Single TE,1.0,318.4184621810913,,318.4184621810913,318.4184621810913,318.4184621810913,318.4184621810913,318.4184621810913
Lmax,Single biLSTM,1.0,290.50924334526064,,290.50924334526064,290.50924334526064,290.50924334526064,290.50924334526064,290.50924334526064
L̅,Hierarchical ReLU,1.0,38.69182991981506,,38.69182991981506,38.69182991981506,38.69182991981506,38.69182991981506,38.69182991981506
L̅,Hierarchical TE,1.0,234.5821294307709,,234.5821294307709,234.5821294307709,234.5821294307709,234.5821294307709,234.5821294307709
L̅,Hierarchical biLSTM,1.0,313.90388026237486,,313.90388026237486,313.90388026237486,313.90388026237486,313.90388026237486,313.90388026237486
L̅,Single ReLU,1.0,32.44879808425903,,32.44879808425903,32.44879808425903,32.44879808425903,32.44879808425903,32.44879808425903
L̅,Single TE,1.0,147.3385437488556,,147.3385437488556,147.3385437488556,147.3385437488556,147.3385437488556,147.3385437488556
L̅,Single biLSTM,1.0,152.14004034996032,,152.14004034996032,152.14004034996032,152.14004034996032,152.14004034996032,152.14004034996032
L̅/ 2,Hierarchical ReLU,1.0,36.328814363479616,,36.328814363479616,36.328814363479616,36.328814363479616,36.328814363479616,36.328814363479616
L̅/ 2,Hierarchical TE,1.0,167.76321563720705,,167.76321563720705,167.76321563720705,167.76321563720705,167.76321563720705,167.76321563720705
L̅/ 2,Hierarchical biLSTM,1.0,201.28065567016603,,201.28065567016603,201.28065567016603,201.28065567016603,201.28065567016603,201.28065567016603
L̅/ 2,Single ReLU,1.0,30.56902151107788,,30.56902151107788,30.56902151107788,30.56902151107788,30.56902151107788,30.56902151107788
L̅/ 2,Single TE,1.0,112.40287251472472,,112.40287251472472,112.40287251472472,112.40287251472472,112.40287251472472,112.40287251472472
L̅/ 2,Single biLSTM,1.0,90.47010340690612,,90.47010340690612,90.47010340690612,90.47010340690612,90.47010340690612,90.47010340690612
