prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,996.4838931560516,,996.4838931560516,996.4838931560516,996.4838931560516,996.4838931560516,996.4838931560516
0,Hierarchical TE,1.0,2232.8697834968566,,2232.8697834968566,2232.8697834968566,2232.8697834968566,2232.8697834968566,2232.8697834968566
0,Single ReLU,1.0,797.6090240001679,,797.6090240001679,797.6090240001679,797.6090240001679,797.6090240001679,797.6090240001679
0,Single TE,1.0,1284.9847903728485,,1284.9847903728485,1284.9847903728485,1284.9847903728485,1284.9847903728485,1284.9847903728485
Lmax,Hierarchical ReLU,1.0,996.4745025157928,,996.4745025157928,996.4745025157928,996.4745025157928,996.4745025157928,996.4745025157928
Lmax,Hierarchical TE,1.0,2644.6739410877226,,2644.6739410877226,2644.6739410877226,2644.6739410877226,2644.6739410877226,2644.6739410877226
Lmax,Single ReLU,1.0,804.7002695083618,,804.7002695083618,804.7002695083618,804.7002695083618,804.7002695083618,804.7002695083618
Lmax,Single TE,1.0,1303.3644049167633,,1303.3644049167633,1303.3644049167633,1303.3644049167633,1303.3644049167633,1303.3644049167633
L̅,Hierarchical ReLU,1.0,1030.5704287052154,,1030.5704287052154,1030.5704287052154,1030.5704287052154,1030.5704287052154,1030.5704287052154
L̅,Hierarchical TE,1.0,2262.645339870453,,2262.645339870453,2262.645339870453,2262.645339870453,2262.645339870453,2262.645339870453
L̅,Single ReLU,1.0,823.3448841094971,,823.3448841094971,823.3448841094971,823.3448841094971,823.3448841094971,823.3448841094971
L̅,Single TE,1.0,1304.7856090068815,,1304.7856090068815,1304.7856090068815,1304.7856090068815,1304.7856090068815,1304.7856090068815
L̅/ 2,Hierarchical ReLU,1.0,1009.6492106437684,,1009.6492106437684,1009.6492106437684,1009.6492106437684,1009.6492106437684,1009.6492106437684
L̅/ 2,Hierarchical TE,1.0,2232.395010566712,,2232.395010566712,2232.395010566712,2232.395010566712,2232.395010566712,2232.395010566712
L̅/ 2,Single ReLU,1.0,823.7155207633972,,823.7155207633972,823.7155207633972,823.7155207633972,823.7155207633972,823.7155207633972
L̅/ 2,Single TE,1.0,1294.746800661087,,1294.746800661087,1294.746800661087,1294.746800661087,1294.746800661087,1294.746800661087
